book_id,text_reviews_count,language_code,average_rating,authors,publication_year,title
20588698,7053.0,eng,3.33,"[{'author_id': '5877493', 'role': ''}, {'author_id': '9281272', 'role': 'Illustrator'}]",2014,"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned"""
6320534,11347.0,eng,3.89,"[{'author_id': '3389', 'role': ''}]",2009,Under the Dome
15793074,1688.0,eng,3.94,"[{'author_id': '4820', 'role': ''}]",2013,"Best Kept Secret (The Clifton Chronicles, #3)"
22206,1846.0,,3.73,"[{'author_id': '2546', 'role': ''}]",2003,Lullaby
22205,4189.0,eng,4.03,"[{'author_id': '2987', 'role': ''}]",,This Lullaby
7821828,2064.0,eng,3.85,"[{'author_id': '471230', 'role': ''}]",2010,The Hare With Amber Eyes: A Family's Century of Art and Loss
71332,4777.0,eng,3.82,"[{'author_id': '5021508', 'role': ''}]",,Push
17970255,1551.0,eng,4.09,"[{'author_id': '4167378', 'role': ''}]",2013,"Into the Deep (Into the Deep, #1)"
6068551,18330.0,eng,3.78,"[{'author_id': '1330292', 'role': ''}]",2009,"Shiver (The Wolves of Mercy Falls, #1)"
8520362,1701.0,eng,4.01,"[{'author_id': '1401', 'role': ''}, {'author_id': '1399', 'role': ''}]",2010,The Grand Design
7907803,2706.0,en-US,3.58,"[{'author_id': '7103', 'role': ''}]",2010,An Object of Beauty
10534,4193.0,eng,3.96,"[{'author_id': '1771', 'role': ''}, {'author_id': '155021', 'role': 'Translator'}]",2005,The Art of War
10538,3484.0,,3.93,"[{'author_id': '7', 'role': ''}]",2006,The Life and Times of the Thunderbolt Kid
3432478,6065.0,eng,3.59,"[{'author_id': '1443712', 'role': ''}]",2009,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)"
17125,1983.0,eng,3.95,"[{'author_id': '10420', 'role': ''}, {'author_id': '192496', 'role': 'Translation'}]",2005,One Day in the Life of Ivan Denisovich
3678651,1899.0,eng,4.06,"[{'author_id': '1562974', 'role': ''}]",2009,"Bad Girls Don't Die (Bad Girls Don't Die, #1)"
402093,2423.0,eng,4.37,"[{'author_id': '6417', 'role': ''}]",2009,"Shōgun (Asian Saga, #1)"
5345,3525.0,eng,3.79,"[{'author_id': '721', 'role': ''}]",,The Innocent Man: Murder and Injustice in a Small Town
5346,1513.0,eng,3.86,"[{'author_id': '721', 'role': ''}]",2006,The Last Juror
22716194,4073.0,eng,3.98,"[{'author_id': '978484', 'role': ''}]",2015,Inside the O'Briens
15751404,6215.0,eng,3.90,"[{'author_id': '1439', 'role': ''}]",2013,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants"
775346,2810.0,eng,3.44,"[{'author_id': '8719', 'role': ''}]",,The Little Friend
6953500,2017.0,eng,3.44,"[{'author_id': '11654', 'role': ''}]",2010,"Insatiable (Insatiable, #1)"
7076706,1891.0,eng,4.12,"[{'author_id': '625', 'role': ''}]",,The Search
8664353,38878.0,eng,4.39,"[{'author_id': '30913', 'role': ''}]",2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
25251757,2576.0,eng,3.45,"[{'author_id': '29593', 'role': ''}]",2016,You Will Know Me
6578293,4167.0,en-US,4.14,"[{'author_id': '221559', 'role': ''}]",2009,"Dog Days (Diary of a Wimpy Kid, #4)"
9256414,1476.0,en-US,3.72,"[{'author_id': '4336590', 'role': ''}]",2011,"Hereafter (Hereafter, #1)"
15778138,1695.0,eng,4.25,"[{'author_id': '4872191', 'role': ''}]",2012,"Just for Now (Sea Breeze, #4)"
2233407,2953.0,eng,4.01,"[{'author_id': '17061', 'role': ''}]",2008,"From Dead to Worse (Sookie Stackhouse, #8)"
25430584,2319.0,eng,3.68,"[{'author_id': '3509', 'role': ''}]",2016,The Guest Room
31450633,3024.0,eng,3.96,"[{'author_id': '14425604', 'role': ''}]",2017,The Breakdown
12067,11391.0,eng,4.25,"[{'author_id': '1654', 'role': ''}, {'author_id': '1221698', 'role': ''}]",2006,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
25614984,1487.0,eng,3.82,"[{'author_id': '5589647', 'role': ''}]",2016,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up
129117,2460.0,eng,3.88,"[{'author_id': '74189', 'role': ''}]",2008,"The Spellman Files (The Spellmans, #1)"
14817,1567.0,eng,4.04,"[{'author_id': '4764', 'role': ''}]",2006,A Scanner Darkly
3431,14324.0,,3.90,"[{'author_id': '2331', 'role': ''}]",2003,The Five People You Meet in Heaven
23212667,4642.0,eng,3.78,"[{'author_id': '4417749', 'role': ''}]",2016,All the Missing Girls
6708,4953.0,eng,4.11,"[{'author_id': '4493', 'role': ''}]",,The Power of Now: A Guide to Spiritual Enlightenment
3613997,3174.0,en-US,3.64,"[{'author_id': '721', 'role': ''}]",,The Associate
32283423,1530.0,eng,3.88,"[{'author_id': '15291182', 'role': ''}]",2017,American War
13584236,5644.0,,4.13,"[{'author_id': '4725841', 'role': ''}]",2012,"Fifty Shades Trilogy (Fifty Shades, #1-3)"
13372690,11978.0,eng,4.29,"[{'author_id': '5430144', 'role': ''}]",2012,"Slammed (Slammed, #1)"
7187395,2208.0,en-US,4.13,"[{'author_id': '46097', 'role': ''}]",,"The Walk (The Walk, #1)"
16113791,5741.0,eng,4.20,"[{'author_id': '4601855', 'role': ''}]",2012,"The Coincidence of Callie & Kayden (The Coincidence, #1)"
20448515,1457.0,,4.19,"[{'author_id': '19823', 'role': ''}]",2014,"Bared to You (Crossfire, #1)"
5060378,24868.0,eng,4.22,"[{'author_id': '706255', 'role': ''}, {'author_id': '2565625', 'role': 'Translator'}]",2009,"The Girl Who Played with Fire (Millennium, #2)"
29396,2804.0,eng,4.12,"[{'author_id': '10746', 'role': ''}]",2005,"Furies of Calderon (Codex Alera, #1)"
1832749,1628.0,eng,3.84,"[{'author_id': '588558', 'role': ''}]",2008,"I Heart You, You Haunt Me"
47624,1579.0,en-US,4.29,"[{'author_id': '8347', 'role': ''}]",2015,"Lirael (Abhorsen, #2)"
20801166,2369.0,eng,3.64,"[{'author_id': '8030489', 'role': ''}]",2014,A Little Something Different
22022744,1616.0,spa,4.27,"[{'author_id': '281810', 'role': ''}]",2014,Yo antes de ti
6369113,1658.0,eng,3.87,"[{'author_id': '324620', 'role': ''}, {'author_id': '441126', 'role': 'Illustrator'}]",2009,Lips Touch: Three Times
2659997,1682.0,,3.89,"[{'author_id': '1169791', 'role': ''}, {'author_id': '105767', 'role': ''}]",2008,"Stolen Innocence: My Story of Growing Up in a Polygamous Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs"
341879,7144.0,eng,4.14,"[{'author_id': '196092', 'role': ''}]",2010,Just Kids
23743603,1601.0,en-GB,3.34,"[{'author_id': '10913466', 'role': ''}]",2015,Miramont's Ghost
18143905,2174.0,eng,3.82,"[{'author_id': '6153502', 'role': ''}]",2014,The Opposite of Loneliness: Essays and Stories
11946245,2640.0,eng,3.88,"[{'author_id': '3780', 'role': ''}]",2012,"Nevermore (Maximum Ride, #8)"
2159225,1961.0,en-US,4.20,"[{'author_id': '47672', 'role': ''}, {'author_id': '2303624', 'role': 'Illustrator'}]",2008,"The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society, #2)"
51606,1527.0,eng,4.16,"[{'author_id': '29068', 'role': ''}]",2000,Johnny Got His Gun
22754100,6043.0,eng,3.88,"[{'author_id': '1063732', 'role': ''}]",2015,The Girl on the Train
875441,2772.0,eng,4.44,"[{'author_id': '20411', 'role': ''}]",2007,Someone Knows My Name
321577,1508.0,en-US,3.72,"[{'author_id': '11075', 'role': ''}]",,Girl in Hyacinth Blue
16071764,10072.0,eng,3.94,"[{'author_id': '5333595', 'role': ''}, {'author_id': '3963951', 'role': 'Co-Writer'}]",2013,"Lean In: Women, Work, and the Will to Lead"
2702704,3105.0,en-US,4.34,"[{'author_id': '48206', 'role': ''}]",,"Faefever (Fever, #3)"
162085,7094.0,en-US,3.90,"[{'author_id': '93970', 'role': ''}]",,"Pretty Little Liars (Pretty Little Liars, #1)"
162089,2746.0,en-US,3.96,"[{'author_id': '93970', 'role': ''}]",,"Flawless (Pretty Little Liars, #2)"
21686,5767.0,eng,4.08,"[{'author_id': '10289', 'role': ''}]",2004,Shutter Island
6463967,3129.0,en-US,4.26,"[{'author_id': '776', 'role': ''}]",2010,The Big Short: Inside the Doomsday Machine
19534,1512.0,eng,4.39,"[{'author_id': '11700', 'role': ''}]",1996,The Brothers K
15814872,3389.0,en-US,3.96,"[{'author_id': '1274669', 'role': ''}, {'author_id': '4059658', 'role': ''}]",2012,No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden
16054808,3770.0,eng,4.13,"[{'author_id': '95190', 'role': ''}]",2013,Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library #1)
12384984,1457.0,eng,4.11,"[{'author_id': '253326', 'role': ''}]",2012,See You at Harry's
9462812,3814.0,eng,3.99,"[{'author_id': '3353516', 'role': ''}]",2011,"Die for Me (Revenants, #1)"
9566,2139.0,eng,4.04,"[{'author_id': '197', 'role': ''}]",,Still Life with Woodpecker
7959473,2223.0,eng,4.24,"[{'author_id': '14989', 'role': ''}]",2010,"American Assassin (Mitch Rapp, #1)"
10576365,10183.0,eng,4.25,"[{'author_id': '2973783', 'role': ''}]",2012,"The Darkest Minds (The Darkest Minds, #1)"
7677,3453.0,spa,3.97,"[{'author_id': '5194', 'role': ''}]",2006,"Jurassic Park (Jurassic Park, #1)"
7670,2203.0,,3.87,"[{'author_id': '5194', 'role': ''}]",2003,The Andromeda Strain
15795628,3573.0,eng,4.17,"[{'author_id': '5363257', 'role': ''}]",2013,Blackmoore
46787,4349.0,eng,3.83,"[{'author_id': '26242', 'role': ''}]",1999,Uncle Tom's Cabin
228665,7328.0,eng,4.18,"[{'author_id': '6252', 'role': ''}]",1990,"The Eye of the World (Wheel of Time, #1)"
321645,1461.0,eng,4.08,"[{'author_id': '53574', 'role': ''}]",1998,"Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel, #1-3)"
5890,4384.0,eng,3.98,"[{'author_id': '4012', 'role': ''}, {'author_id': '4011', 'role': 'Annotations'}]",2003,The Woman in White
18360128,1714.0,eng,4.35,"[{'author_id': '324620', 'role': ''}]",2013,"Night of Cake & Puppets (Daughter of Smoke & Bone, #2.5)"
170210,3253.0,eng,4.01,"[{'author_id': '17061', 'role': ''}]",,"Dead as a Doornail (Sookie Stackhouse, #5)"
24445517,6958.0,eng,4.32,"[{'author_id': '5430144', 'role': ''}]",2014,"Maybe Someday (Maybe, #1)"
18681804,1653.0,eng,4.03,"[{'author_id': '7258437', 'role': ''}]",2013,"Night Owl (Night Owl, #1)"
227443,6654.0,eng,3.75,"[{'author_id': '3090', 'role': ''}]",1999,"Bridget Jones's Diary (Bridget Jones, #1)"
5171,1966.0,eng,3.73,"[{'author_id': '3513', 'role': ''}]",2001,Drowning Ruth
5174,2256.0,eng,3.95,"[{'author_id': '3515', 'role': ''}]",2002,Fall on Your Knees
18498558,5406.0,eng,3.98,"[{'author_id': '7271073', 'role': ''}]",2014,Bird Box
26582,3262.0,eng,3.28,"[{'author_id': '437669', 'role': ''}, {'author_id': '7577', 'role': ''}]",,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)"
1137215,3535.0,eng,3.50,"[{'author_id': '221253', 'role': ''}]",2009,"Boneshaker (The Clockwork Century, #1)"
1609451,5451.0,en-US,3.91,"[{'author_id': '7128', 'role': ''}]",2008,Change of Heart
6464937,1577.0,eng,3.82,"[{'author_id': '6410', 'role': ''}]",2009,Too Much Happiness
13519397,3131.0,eng,4.23,"[{'author_id': '3433047', 'role': ''}]",2012,"Throne of Glass (Throne of Glass, #1)"
6452796,2930.0,,3.95,"[{'author_id': '96150', 'role': ''}]",2009,Drive: The Surprising Truth About What Motivates Us
18500665,3699.0,eng,4.10,"[{'author_id': '4890182', 'role': ''}]",2015,"End of Days (Penryn & the End of Days, #3)"
96358,2998.0,eng,4.37,"[{'author_id': '3961', 'role': ''}, {'author_id': '55409', 'role': 'Illustrator'}, {'author_id': '61388', 'role': 'Introduction'}]",1995,Batman: The Killing Joke
11500217,8104.0,en-US,4.18,"[{'author_id': '4890182', 'role': ''}]",2013,"Angelfall (Penryn & the End of Days, #1)"
27070127,2927.0,eng,3.41,"[{'author_id': '457', 'role': ''}]",2016,Vinegar Girl
30841109,1707.0,eng,3.92,"[{'author_id': '148847', 'role': ''}]",2016,Victoria
9409458,6674.0,eng,3.91,"[{'author_id': '1330292', 'role': ''}]",2011,"Forever (The Wolves of Mercy Falls, #3)"
18163646,1716.0,,3.88,"[{'author_id': '6094847', 'role': ''}]",2014,Falling into Place
8600,3765.0,en-US,3.86,"[{'author_id': '5571', 'role': ''}]",2006,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation"
216443,1814.0,eng,4.12,"[{'author_id': '12479', 'role': ''}]",1992,Heir to the Empire (Star Wars: The Thrawn Trilogy #1)
12099007,1515.0,eng,4.06,"[{'author_id': '625', 'role': ''}, {'author_id': '7711592', 'role': 'Narrator'}]",2012,"The Last Boyfriend (Inn BoonsBoro, #2)"
12160906,2173.0,eng,4.02,"[{'author_id': '4820', 'role': ''}]",,"The Sins of the Father (The Clifton Chronicles, #2)"
10756656,2179.0,en-US,4.00,"[{'author_id': '4637369', 'role': ''}]",2012,"Under the Never Sky (Under the Never Sky, #1)"
12751687,7055.0,eng,4.22,"[{'author_id': '2876763', 'role': ''}]",2012,"Finale (Hush, Hush, #4)"
17910611,1687.0,eng,3.40,"[{'author_id': '6160', 'role': ''}]",2014,Wedding Night
11455096,1694.0,en-US,3.70,"[{'author_id': '3429117', 'role': ''}]",2012,"Tempest (Tempest, #1)"
6335026,3358.0,eng,3.93,"[{'author_id': '2875124', 'role': ''}]",2009,The Weight of Silence
139220,1636.0,,3.89,"[{'author_id': '2606', 'role': ''}]",2006,"Heat: An Amateur's Adventures as Kitchen Slave, Line Cook, Pasta-Maker, and Apprentice to a Dante-Quoting Butcher in Tuscany"
66559,19809.0,en-US,3.92,"[{'author_id': '2383', 'role': ''}]",,Sharp Objects
30687916,1597.0,eng,4.40,"[{'author_id': '40563', 'role': ''}]",2017,"Silence Fallen (Mercy Thompson, #10)"
6131164,10861.0,eng,4.59,"[{'author_id': '150038', 'role': ''}]",2013,"Clockwork Princess (The Infernal Devices, #3)"
15451058,2391.0,eng,4.08,"[{'author_id': '57108', 'role': ''}]",2015,My Life on the Road
28962906,2450.0,eng,3.99,"[{'author_id': '14584166', 'role': ''}, {'author_id': '3780', 'role': 'Foreword'}]",2016,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)"
224500,1615.0,eng,4.10,"[{'author_id': '32590', 'role': ''}]",2001,Point Blank
9758764,2577.0,en-US,3.69,"[{'author_id': '9212', 'role': ''}]",2011,Then Came You
3276072,1757.0,en-US,3.94,"[{'author_id': '8178', 'role': ''}]",,Scat
6257535,1811.0,eng,4.10,"[{'author_id': '16204', 'role': ''}]",2009,New York
5310515,9342.0,eng,4.08,"[{'author_id': '175329', 'role': ''}]",,When You Reach Me
29396738,2233.0,eng,4.01,"[{'author_id': '35022', 'role': 'Writer'}, {'author_id': '377312', 'role': 'Artist'}, {'author_id': '6560735', 'role': 'Letterer, Designer'}]",2016,"Monstress, Vol. 1: Awakening (Monstress, #1)"
21981841,2177.0,en-CA,4.04,"[{'author_id': '7139136', 'role': ''}, {'author_id': '3289473', 'role': 'Narrator'}, {'author_id': '6985031', 'role': 'Narrator'}]",2015,"Corrupt (Devil's Night, #1)"
17562900,2668.0,eng,4.42,"[{'author_id': '40563', 'role': ''}]",2014,"Night Broken (Mercy Thompson, #8)"
21491731,1783.0,eng,3.74,"[{'author_id': '6521173', 'role': ''}]",2014,"Alpha (Alpha, #1)"
77507,2044.0,eng,3.84,"[{'author_id': '1858', 'role': ''}]",,"Red Mars (Mars Trilogy, #1)"
207035,3521.0,en-US,3.95,"[{'author_id': '498072', 'role': ''}]",2003,The Time Traveler's Wife
9917879,2194.0,eng,4.08,"[{'author_id': '767547', 'role': ''}]",2011,"The Unwanteds (Unwanteds, #1)"
472331,10057.0,en-US,4.35,"[{'author_id': '3961', 'role': ''}, {'author_id': '13285', 'role': 'Illustrator/Letterer'}, {'author_id': '106526', 'role': 'Colorist'}]",2005,Watchmen
13414676,6045.0,eng,3.81,"[{'author_id': '274511', 'role': ''}]",2012,The End of Your Life Book Club
270730,7095.0,eng,4.16,"[{'author_id': '2821144', 'role': ''}]",,"Crank (Crank, #1)"
13525938,1885.0,eng,3.42,"[{'author_id': '215765', 'role': ''}]",2012,The Middlesteins
169756,5211.0,eng,3.54,"[{'author_id': '31688', 'role': ''}]",2004,Feed
42603,1835.0,en-US,4.12,"[{'author_id': '16652', 'role': ''}]",,Black Like Me
30255942,1761.0,eng,3.82,"[{'author_id': '157146', 'role': ''}]",2017,A Piece of the World
10506237,1484.0,,4.09,"[{'author_id': '4656955', 'role': ''}]",2011,Hot Head (Head #1)
2052,3289.0,eng,4.03,"[{'author_id': '1377', 'role': ''}]",1988,"The Big Sleep (Philip Marlowe, #1)"
261689,1871.0,eng,4.16,"[{'author_id': '18067', 'role': ''}]",2004,The Grand Sophy
25065522,1710.0,en-CA,3.56,"[{'author_id': '33117', 'role': ''}]",2015,Wildflower
13623012,2610.0,,3.96,"[{'author_id': '815', 'role': ''}]",2012,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)"
2355575,2671.0,en-US,4.12,"[{'author_id': '40563', 'role': ''}]",,"Cry Wolf (Alpha & Omega, #1)"
20443207,4451.0,eng,4.16,"[{'author_id': '1238111', 'role': ''}]",2015,"The Winner's Crime (The Winner's Trilogy, #2)"
16074758,1979.0,eng,4.14,"[{'author_id': '6551240', 'role': 'Pseudonym'}, {'author_id': '2717365', 'role': ''}]",2013,Dangerous Girls
12275680,2319.0,eng,3.76,"[{'author_id': '2384', 'role': ''}]",2012,"Wicked Business (Lizzy & Diesel, #2)"
8928054,1533.0,en-US,3.84,"[{'author_id': '157676', 'role': ''}]",2011,Shine
16151178,5922.0,eng,4.34,"[{'author_id': '6466759', 'role': ''}]",2012,The Sea of Tranquility
9684523,5288.0,eng,3.81,"[{'author_id': '211268', 'role': ''}]",2011,Caleb's Crossing
12291438,2980.0,eng,3.69,"[{'author_id': '5108399', 'role': ''}]",2013,"The Madman’s Daughter (The Madman’s Daughter, #1)"
7510,1494.0,eng,3.82,"[{'author_id': '3780', 'role': ''}, {'author_id': '4255', 'role': ''}]",2003,The Beach House
23125266,6033.0,eng,4.09,"[{'author_id': '8509533', 'role': ''}]",2014,I Let You Go
23878,2306.0,eng,3.95,"[{'author_id': '13450', 'role': ''}, {'author_id': '50060', 'role': 'translator'}]",2003,Chronicle of a Death Foretold
12444166,3547.0,eng,4.12,"[{'author_id': '48206', 'role': ''}]",2012,"Iced (Fever, #6)"
9439989,1635.0,en-US,3.96,"[{'author_id': '580315', 'role': ''}]",2011,"Touch of Frost (Mythos Academy, #1)"
72854,1572.0,eng,4.10,"[{'author_id': '41193', 'role': ''}]",1999,"Into the Wilderness (Wilderness, #1)"
13450339,3067.0,en-US,4.14,"[{'author_id': '4428', 'role': ''}]",2012,"Poison Princess (The Arcana Chronicles, #1)"
6534132,2378.0,eng,4.23,"[{'author_id': '70868', 'role': ''}]",2009,The Lion and the Mouse
84136,2604.0,eng,4.17,"[{'author_id': '4430', 'role': ''}]",2002,Fantasy Lover (Dark-Hunterverse #1)
1067,5530.0,eng,4.06,"[{'author_id': '6281688', 'role': ''}]",,1776
130440,1465.0,eng,4.03,"[{'author_id': '7902', 'role': ''}, {'author_id': '923847', 'role': 'Translator'}, {'author_id': '923848', 'role': 'Translator'}, {'author_id': '21660', 'role': 'Introduction'}]",1997,Doctor Zhivago
32423,2409.0,,4.16,"[{'author_id': '9355', 'role': ''}]",2003,Watchers
12476820,3792.0,en-US,3.94,"[{'author_id': '2740668', 'role': ''}]",2012,"Partials (Partials Sequence, #1)"
7826116,2216.0,en-US,4.18,"[{'author_id': '13957', 'role': ''}, {'author_id': '202254', 'role': 'Illustrator'}]",2010,"Behemoth (Leviathan, #2)"
7826117,1560.0,en-US,3.60,"[{'author_id': '119005', 'role': ''}]",2010,Jane
12891107,1645.0,en-US,4.20,"[{'author_id': '4721536', 'role': ''}]",2012,"King of Thorns (The Broken Empire, #2)"
15704307,8700.0,eng,4.24,"[{'author_id': '24514', 'role': 'Writer'}, {'author_id': '304633', 'role': 'Artist'}]",2012,"Saga, Vol. 1 (Saga, #1)"
213753,7834.0,eng,3.89,"[{'author_id': '1318', 'role': ''}]",2006,"Life As We Knew It (Last Survivors, #1)"
22571552,2823.0,eng,3.92,"[{'author_id': '1218', 'role': ''}]",2015,So You've Been Publicly Shamed
17443673,1809.0,eng,4.22,"[{'author_id': '5829056', 'role': ''}]",2013,A Different Blue
26114463,1736.0,eng,4.25,"[{'author_id': '4735144', 'role': ''}]",2016,"Nevernight (The Nevernight Chronicle, #1)"
41193,2025.0,eng,3.79,"[{'author_id': '1339', 'role': ''}]",2003,A Thousand Acres
77203,53601.0,eng,4.26,"[{'author_id': '569', 'role': ''}]",2004,The Kite Runner
8490112,17781.0,eng,4.04,"[{'author_id': '324620', 'role': ''}]",2011,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)"
18122,4926.0,eng,4.07,"[{'author_id': '3618', 'role': ''}]",2003,"The Amber Spyglass (His Dark Materials, #3)"
2168860,2826.0,eng,4.31,"[{'author_id': '669810', 'role': ''}]",2008,"One Foot in the Grave (Night Huntress, #2)"
29772863,1970.0,eng,4.21,"[{'author_id': '4684322', 'role': ''}, {'author_id': '2799765', 'role': 'Illustrations'}]",,"Wires and Nerve, Volume 1 (Wires and Nerves, #1)"
9923372,3547.0,,3.34,"[{'author_id': '486136', 'role': ''}]",2011,Maine
107301,2184.0,eng,4.12,"[{'author_id': '21477', 'role': ''}]",2000,A Town Like Alice
113348,1503.0,en-US,4.16,"[{'author_id': '626222', 'role': ''}]",1997,The Red Tent
12881141,1784.0,en-GB,4.20,"[{'author_id': '2958084', 'role': ''}]",2011,"Wild Man (Dream Man, #2)"
7664334,5999.0,eng,4.04,"[{'author_id': '3351454', 'role': ''}]",2010,Amy & Roger's Epic Detour
18505832,2829.0,eng,4.12,"[{'author_id': '19696', 'role': ''}]",2014,Natchez Burning (Penn Cage #4)
17159011,1578.0,eng,4.07,"[{'author_id': '12577', 'role': ''}, {'author_id': '11091', 'role': ''}]",2013,"White Fire (Pendergast, #13)"
19161852,4291.0,eng,4.31,"[{'author_id': '2917917', 'role': ''}]",2015,"The Fifth Season (The Broken Earth, #1)"
25903764,2184.0,eng,4.23,"[{'author_id': '21618', 'role': ''}]",2016,Ghosts
8306745,2372.0,en-US,4.07,"[{'author_id': '25052', 'role': ''}]",2011,"A World Without Heroes (Beyonders, #1)"
4556058,3550.0,eng,4.50,"[{'author_id': '15872', 'role': ''}]",2009,"The Last Olympian (Percy Jackson and the Olympians, #5)"
18296030,1760.0,eng,4.11,"[{'author_id': '4476934', 'role': ''}]",2014,Don't Look Back
241387,1640.0,en-US,4.23,"[{'author_id': '67487', 'role': ''}]",,When Crickets Cry
15811545,7349.0,eng,3.98,"[{'author_id': '7825', 'role': ''}]",2013,A Tale for the Time Being
6952,4324.0,en-US,3.94,"[{'author_id': '4694', 'role': ''}, {'author_id': '5758324', 'role': 'Translator'}, {'author_id': '577215', 'role': 'Translator'}]",,Like Water for Chocolate
17657649,1459.0,en-US,3.94,"[{'author_id': '7000989', 'role': ''}]",,Dear Mr. Knightley
16081272,9284.0,en-US,4.26,"[{'author_id': '5437976', 'role': ''}]",2012,"The Edge of Never (The Edge of Never, #1)"
17334079,1946.0,eng,3.73,"[{'author_id': '150038', 'role': ''}, {'author_id': '836009', 'role': ''}]",2013,"What Really Happened in Peru (The Bane Chronicles, #1)"
10210,23595.0,eng,4.10,"[{'author_id': '1036615', 'role': ''}, {'author_id': '6674', 'role': 'Annotations'}]",,Jane Eyre
1902241,3838.0,eng,3.70,"[{'author_id': '123463', 'role': ''}]",2008,"The Adoration of Jenna Fox (Jenna Fox Chronicles, #1)"
